cluster,minnesota_district,closest_district,dist
6,"Congressional District 7 (115th Congress), Minnesota","Congressional District 10 (115th Congress), Pennsylvania",0.926502409
6,"Congressional District 7 (115th Congress), Minnesota","Congressional District 3 (115th Congress), Nebraska",0.966422257
6,"Congressional District 7 (115th Congress), Minnesota","Congressional District 7 (115th Congress), Michigan",0.971326944
6,"Congressional District 7 (115th Congress), Minnesota","Congressional District 9 (115th Congress), Pennsylvania",0.973963659
6,"Congressional District 7 (115th Congress), Minnesota","Congressional District 15 (115th Congress), Illinois",0.983275525
6,"Congressional District 7 (115th Congress), Minnesota","Congressional District 4 (115th Congress), Ohio",0.988435971
6,"Congressional District 7 (115th Congress), Minnesota","Congressional District 3 (115th Congress), Pennsylvania",0.989471646
6,"Congressional District 8 (115th Congress), Minnesota","Congressional District 8 (115th Congress), Minnesota",0
6,"Congressional District 8 (115th Congress), Minnesota","Congressional District 7 (115th Congress), Michigan",0.666523089
6,"Congressional District 8 (115th Congress), Minnesota","Congressional District 4 (115th Congress), Ohio",0.772142132
6,"Congressional District 8 (115th Congress), Minnesota","Congressional District 16 (115th Congress), Illinois",0.790407607
6,"Congressional District 8 (115th Congress), Minnesota","Congressional District 9 (115th Congress), Pennsylvania",0.800995032
6,"Congressional District 8 (115th Congress), Minnesota","Congressional District 15 (115th Congress), Illinois",0.826770918
6,"Congressional District 8 (115th Congress), Minnesota","Congressional District 22 (115th Congress), New York",0.840714846
6,"Congressional District 8 (115th Congress), Minnesota","Congressional District 1 (115th Congress), Michigan",0.858295674
6,"Congressional District 8 (115th Congress), Minnesota","Congressional District 7 (115th Congress), Wisconsin",0.862827984
6,"Congressional District 8 (115th Congress), Minnesota","Congressional District 3 (115th Congress), Pennsylvania",0.875232991
